qtd_links,palavras_urgencia,pct_maiusculas,qtd_exclamacoes,remetente_suspeito,categoria
2,6,95,7,1,Spam
1,2,17,1,1,Normal
3,1,20,3,0,Normal
10,2,72,10,1,Spam
6,1,57,11,1,Spam
7,4,48,5,1,Spam
5,4,69,7,1,Spam
3,0,22,2,0,Normal
2,8,41,11,1,Spam
2,0,4,2,0,Normal
5,1,87,7,0,Spam
8,8,73,10,1,Spam
4,4,53,11,1,Spam
3,1,10,3,1,Normal
0,0,24,2,0,Normal
6,1,84,6,1,Spam
10,2,43,7,1,Spam
8,8,43,6,1,Spam
4,6,46,7,1,Spam
4,6,92,7,1,Spam
9,5,66,11,1,Spam
1,1,25,2,0,Normal
1,0,19,1,0,Normal
2,1,22,1,0,Normal
1,0,12,0,0,Normal
2,2,8,1,0,Normal
3,3,44,7,1,Spam
11,5,37,9,1,Spam
2,2,8,2,0,Normal
3,0,18,2,0,Normal
0,0,17,0,0,Normal
5,7,70,4,1,Spam
9,3,76,10,0,Spam
4,3,67,2,0,Spam
9,5,62,2,1,Spam
3,2,14,1,0,Normal
4,2,75,5,1,Spam
1,1,18,2,0,Normal
3,2,14,3,0,Normal
2,5,57,5,1,Spam
3,0,12,3,0,Normal
5,8,46,10,1,Spam
3,1,7,3,0,Normal
2,1,6,3,0,Normal
10,6,70,3,1,Spam
2,6,91,4,1,Spam
2,1,19,1,0,Normal
9,4,38,4,1,Spam
11,5,69,4,0,Spam
0,2,29,0,0,Normal
9,2,81,3,1,Spam
5,5,55,8,1,Spam
2,1,41,3,0,Spam
3,0,21,1,0,Normal
0,2,14,2,0,Normal
0,2,12,3,0,Normal
4,2,88,3,1,Spam
2,6,53,6,1,Spam
6,5,62,2,1,Spam
9,1,92,7,1,Spam
10,2,95,6,1,Spam
2,5,87,7,1,Spam
1,1,26,3,0,Normal
1,2,20,1,0,Normal
2,0,28,2,0,Normal
9,6,46,3,1,Spam
1,0,5,0,0,Normal
3,0,12,1,0,Normal
10,6,74,11,1,Spam
